javacpu,cpu_percent,loadavg,javamem,freeram,usedram,u_disk,f_disk,errin,errout,dropin,dropout,qoe_sessions_min,cpe_data_serial,qoedb_size,timestamp
0,15.7,0.0,0.0,9.23,6.15,143.5,326.47,0,0,0,0,0.0,0,0.0,2021_11_08_00_40_58
0,5.2,1.1666666666666667,0.0,8.74,6.63,144.76,325.21,0,0,0,0,0.0,0,0.0,2021_11_08_00_42_59
0,6.7,0.16666666666666669,0.0,8.83,6.54,146.02,323.95,0,0,0,0,0.0,0,0.0,2021_11_08_00_44_59
0,4.6,1.916666666666667,0.0,8.8,6.57,147.21,322.76,0,0,0,0,0.0,0,0.0,2021_11_08_00_46_59
0,9.5,4.749999999999999,0.0,8.2,7.17,148.45,321.52,0,0,0,0,0.0,0,0.0,2021_11_08_00_48_59
0,13.7,0.0,0.0,8.39,6.98,153.81,316.16,0,0,0,0,0.0,0,0.0,2021_11_08_00_58_03
0,20.0,0.0,0.0,6.64,8.73,217.9,252.07,0,0,0,0,0.0,0,0.0,2021_11_08_17_50_44
0,10.4,0.5,0.0,6.75,8.62,219.04,250.93,0,0,0,0,0.0,0,0.0,2021_11_08_17_52_45
0,18.4,0.0,0.0,6.65,8.72,220.05,249.92,0,0,0,0,0.0,0,0.0,2021_11_08_17_54_40
0,15.6,0.0,0.0,6.54,8.83,221.19,248.78,0,0,0,0,0.0,0,0.0,2021_11_08_17_56_44
0,9.4,0.4166666666666667,0.0,6.59,8.78,222.31,247.66,0,0,0,0,0.0,0,0.0,2021_11_08_17_58_45
0,8.5,1.1666666666666667,0.0,6.67,8.7,223.44,246.53,0,0,0,0,0.0,0,0.0,2021_11_08_18_00_45
0,9.7,1.5833333333333335,0.0,6.81,8.56,224.59,245.38,0,0,0,0,0.0,0,0.0,2021_11_08_18_02_45
0,18.2,0.0,0.0,6.79,8.58,225.24,244.73,0,0,0,0,0.0,0,0.0,2021_11_08_18_03_55
0,19.4,0.0,0.0,6.76,8.61,225.54,244.43,0,0,0,0,0.0,0,0.0,2021_11_08_18_04_25
0,12.6,2.8333333333333335,0.0,6.68,8.69,226.55,243.42,0,0,0,0,0.0,0,0.0,2021_11_08_18_06_26
0,11.5,4.25,0.0,7.06,8.31,227.5,242.47,0,0,0,0,0.0,0,0.0,2021_11_08_18_08_26
0,10.3,4.833333333333333,0.0,7.95,7.42,228.26,241.71,0,0,0,0,0.0,0,0.0,2021_11_08_18_10_26
0,4.8,2.5833333333333335,0.0,7.96,7.41,228.27,241.7,0,0,0,0,0.0,0,0.0,2021_11_08_18_12_26
0,3.4,2.666666666666667,0.0,7.92,7.46,228.27,241.7,0,0,0,0,0.0,0,0.0,2021_11_08_18_14_26
0,5.6,2.8333333333333335,0.0,7.82,7.55,228.27,241.7,0,0,0,0,0.0,0,0.0,2021_11_08_18_16_26
0,5.3,0.4166666666666667,0.0,7.69,7.69,228.26,241.71,0,0,0,0,0.0,0,0.0,2021_11_08_18_18_26
0,5.0,1.4166666666666667,0.0,7.51,7.87,228.26,241.71,0,0,0,0,0.0,0,0.0,2021_11_08_18_20_26
0,6.9,2.2500000000000004,0.0,7.93,7.44,228.27,241.7,0,0,0,0,0.0,0,0.0,2021_11_08_18_22_26
0,6.6,0.75,0.0,7.78,7.59,228.26,241.71,0,0,0,0,0.0,0,0.0,2021_11_08_18_24_26
0,6.7,1.25,0.0,7.54,7.83,228.27,241.7,0,0,0,0,0.0,0,0.0,2021_11_08_18_26_26
0,6.4,0.16666666666666669,0.0,7.54,7.83,228.26,241.7,0,0,0,0,0.0,0,0.0,2021_11_08_18_28_26
0,6.2,0.75,0.0,7.38,7.99,228.27,241.7,0,0,0,0,0.0,0,0.0,2021_11_08_18_30_26
0,12.2,0.0,0.0,6.46,8.91,228.28,241.69,0,0,0,0,0.0,0,0.0,2021_11_08_18_49_31
0,5.5,3.25,0.0,6.21,9.17,227.99,241.98,0,0,0,0,0.0,0,0.0,2021_11_08_18_51_32
0,6.5,2.4166666666666665,0.0,6.1,9.27,227.99,241.98,0,0,0,0,0.0,0,0.0,2021_11_08_18_53_32
0,7.7,1.1666666666666667,0.0,6.11,9.26,227.99,241.98,0,0,0,0,0.0,0,0.0,2021_11_08_18_55_32
0,7.1,1.1666666666666667,0.0,6.04,9.33,227.99,241.98,0,0,0,0,0.0,0,0.0,2021_11_08_18_57_32
0,15.1,0.0,0.0,5.96,9.41,227.99,241.98,0,0,0,0,0.0,0,0.0,2021_11_08_18_58_36
0,5.6,1.3333333333333335,0.0,5.82,9.55,227.99,241.97,0,0,0,0,0.0,0,0.0,2021_11_08_19_00_36
